date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:16	54466/54466	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2002%20Nov%202017%2018:55:46%20GMT	https://www.composersunion.ge/js/jquery.caroufredsel.js	I:/OFFWeb/ComPII/ComP/js/jquery.caroufredsel.js	(from https://www.composersunion.ge/)
14:22:17	4313/4313	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2030%20Jul%202017%2019:43:18%20GMT	https://www.composersunion.ge/js/jquery.touchSwipe.min.js	I:/OFFWeb/ComPII/ComP/js/jquery.touchSwipe.min.js	(from https://www.composersunion.ge/)
14:22:17	731/731	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2030%20Jul%202017%2019:43:28%20GMT	https://www.composersunion.ge/js/jquery.ba-throttle-debounce.min.js	I:/OFFWeb/ComPII/ComP/js/jquery.ba-throttle-debounce.min.js	(from https://www.composersunion.ge/)
14:22:18	1392/1392	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2030%20Jul%202017%2019:43:38%20GMT	https://www.composersunion.ge/js/jquery.mousewheel.min.js	I:/OFFWeb/ComPII/ComP/js/jquery.mousewheel.min.js	(from https://www.composersunion.ge/)
14:22:18	39330/39330	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2030%20Jul%202017%2019:43:46%20GMT	https://www.composersunion.ge/js/camera.min.js	I:/OFFWeb/ComPII/ComP/js/camera.min.js	(from https://www.composersunion.ge/)
14:22:19	3776/3776	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2030%20Jul%202017%2019:43:56%20GMT	https://www.composersunion.ge/js/superfish.js	I:/OFFWeb/ComPII/ComP/js/superfish.js	(from https://www.composersunion.ge/)
14:22:19	1122/1122	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2030%20Jul%202017%2019:44:06%20GMT	https://www.composersunion.ge/js/jquery.mobilemenu.js	I:/OFFWeb/ComPII/ComP/js/jquery.mobilemenu.js	(from https://www.composersunion.ge/)
14:22:19	1257/1257	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2030%20Jul%202017%2019:44:18%20GMT	https://www.composersunion.ge/js/jquery.hoverIntent.js	I:/OFFWeb/ComPII/ComP/js/jquery.hoverIntent.js	(from https://www.composersunion.ge/)
14:22:20	1095/1095	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2030%20Jul%202017%2019:44:26%20GMT	https://www.composersunion.ge/js/supersubs.js	I:/OFFWeb/ComPII/ComP/js/supersubs.js	(from https://www.composersunion.ge/)
14:22:20	420/420	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2030%20Jul%202017%2019:44:38%20GMT	https://www.composersunion.ge/js/sftouchscreen.js	I:/OFFWeb/ComPII/ComP/js/sftouchscreen.js	(from https://www.composersunion.ge/)
14:22:20	3890/3890	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Aug%202017%2018:19:08%20GMT	https://www.composersunion.ge/css/jquery.fancybox.css?6014	I:/OFFWeb/ComPII/ComP/css/jquery.fancybox3f68.css	(from https://www.composersunion.ge/)
14:22:20	23015/23015	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2002%20Aug%202017%2018:19:18%20GMT	https://www.composersunion.ge/js/jquery.fancybox.js	I:/OFFWeb/ComPII/ComP/js/jquery.fancybox.js	(from https://www.composersunion.ge/)
14:22:23	3097/3097	---M-Z	200	added ('OK')	application/x-javascript	etag:%22d793458a1624b2c025c4d1167a7e229e%22	http://connect.facebook.net/ka_GE/all.js	I:/OFFWeb/ComPII/ComP/ka_GE/all.js	(from https://www.composersunion.ge/)
14:22:24	297244/297244	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:22:37%20GMT	https://www.composersunion.ge/?lang=geo	I:/OFFWeb/ComPII/ComP/indexe62b.html	(from https://www.composersunion.ge/)
14:22:25	259/259	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2025%20Feb%202022%2013:22:39%20GMT	http://composersunion.ge/uploads/icons/logo_ge.jpg	I:/OFFWeb/ComPII/ComP/uploads/icons/logo_ge.30.delayed	(from https://www.composersunion.ge/)
14:22:52	113935/113935	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:22:39%20GMT	https://www.composersunion.ge/?lang=eng	I:/OFFWeb/ComPII/ComP/index1b0e.html	(from https://www.composersunion.ge/)
